<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20240212;100000;34.76;35.53;34.12;34.64;1267
20240213;100000;36.26;37.07;34.27;35.23;4037
20240214;100000;30.99;31.25;30.96;31.12;4278
20240215;100000;37.38;38.17;36.26;36.9;3122
20240216;100000;40.14;40.38;39.79;40.36;3145
20240217;100000;50.1;50.91;49.55;50.27;3482
20240218;100000;49.01;49.66;48.23;49.14;2019
20240219;100000;41.49;41.78;40.6;41.13;3128
20240220;100000;54.11;54.38;53.65;54.12;3593
20240221;100000;53.53;54.15;52.78;53.13;3173
20240222;100000;53.54;54.27;53.41;54.19;4254
20240223;100000;63.41;63.99;62.67;63.07;2935
20240224;100000;66.94;67.84;66.04;67.49;4266
20240225;100000;69.41;69.92;68.19;69.16;1060
20240226;100000;62.03;62.47;61.94;62.29;4584
20240227;100000;66.32;67.25;65.96;66.71;4117
20240228;100000;71.47;72.16;71.4;71.44;3296
20240229;100000;74.78;76.41;74.1;75.92;2079
20240301;100000;69.57;70.43;68.82;69.63;2276
20240302;100000;71.66;72.75;71.12;71.77;1055
20240303;100000;68.72;69.08;67.07;67.53;1364
20240304;100000;66.97;67.19;66.83;67.13;1882
20240305;100000;77.2;77.71;76.38;76.91;4345
20240306;100000;79.21;79.66;78.52;79.05;4086
20240307;100000;71.18;71.37;70.47;71.04;2296
20240308;100000;75.01;75.47;74.68;75.25;3859
20240309;100000;70.27;71.09;69.91;70.62;1232
20240310;100000;63.32;64.41;63.23;63.92;1110
20240311;100000;67.26;67.85;66.5;67.06;4625
20240312;100000;71.7;71.98;70.51;70.88;2305
20240313;100000;60.08;61.28;59.75;60.78;4448
20240314;100000;66.74;66.98;66.35;66.45;2733
20240315;100000;43.0;43.96;42.92;43.11;3397
20240316;100000;56.72;58.03;55.82;57.86;1758
20240317;100000;51.82;52.73;51.72;51.73;1117
20240318;100000;47.84;48.09;47.21;47.38;1946
20240319;100000;47.28;47.81;46.52;47.0;3220
20240320;100000;34.79;35.56;34.19;34.38;2141
20240321;100000;40.69;41.88;40.16;41.15;3048
20240322;100000;42.46;43.07;41.86;42.14;2828
20240323;100000;46.46;46.78;45.49;46.08;1901
20240324;100000;34.68;35.01;34.54;34.67;2942
20240325;100000;31.36;32.75;31.27;32.06;2342
20240326;100000;32.83;33.52;31.96;32.72;2994
20240327;100000;40.43;41.22;39.12;39.23;2604
20240328;100000;35.73;36.86;34.77;36.03;1333
20240329;100000;31.54;32.72;30.81;31.79;4643
20240330;100000;36.75;38.21;36.61;37.37;1872
20240331;100000;36.35;37.17;35.78;35.96;3898
20240401;100000;41.62;42.28;40.77;41.3;1131
20240402;100000;34.61;35.3;33.75;34.2;1615
20240403;100000;36.75;37.98;36.29;37.6;3469
20240404;100000;37.89;39.63;37.53;39.05;4054
20240405;100000;36.43;36.82;35.13;35.68;4687
20240406;100000;46.77;47.2;46.31;46.65;2202
20240407;100000;48.03;49.13;47.89;48.79;4086
20240408;100000;49.95;50.69;49.37;49.95;3204
20240409;100000;51.8;51.95;50.96;51.27;4044
20240410;100000;47.67;48.13;46.96;47.92;1516
20240411;100000;55.65;56.52;55.11;55.45;3853
20240412;100000;57.24;58.82;56.63;58.36;3062
20240413;100000;58.84;59.64;58.35;58.5;3094
20240414;100000;64.74;64.75;63.43;64.03;2955
20240415;100000;68.79;69.57;68.54;69.03;3116
20240416;100000;77.83;78.85;77.55;78.42;1362
20240417;100000;71.29;71.79;70.71;71.63;4005
20240418;100000;73.44;74.3;72.85;73.57;4051
20240419;100000;72.95;73.74;72.26;73.17;3935
20240420;100000;64.63;65.0;64.55;64.93;4533
20240421;100000;75.71;76.65;74.14;75.06;2430
20240422;100000;75.7;76.03;75.51;75.86;4030
20240423;100000;87.69;88.85;86.82;87.93;1566
20240424;100000;74.65;75.03;73.64;74.38;1201
20240425;100000;75.6;77.08;75.59;76.28;1936
20240426;100000;73.62;74.59;72.7;73.72;4974
20240427;100000;66.42;67.24;65.68;66.89;4600
20240428;100000;76.8;77.94;76.55;77.02;1024
20240429;100000;73.44;73.94;72.98;73.4;2879
20240430;100000;72.23;72.51;71.49;71.71;4953
20240501;100000;60.79;61.8;60.61;61.14;2107
20240502;100000;71.61;72.48;69.94;70.48;2383
20240503;100000;53.3;54.62;52.7;54.11;4212
20240504;100000;60.96;62.44;60.61;61.64;3717
20240505;100000;66.25;67.39;66.21;67.2;1285
20240506;100000;48.99;49.29;48.13;48.84;4057
20240507;100000;49.13;49.65;48.1;48.54;3161
20240508;100000;50.33;50.43;49.2;49.54;1054
20240509;100000;44.29;45.24;43.92;44.3;2481
20240510;100000;37.02;37.82;36.01;36.99;2823
20240511;100000;43.68;44.39;42.54;43.2;1832
20240512;100000;35.07;36.07;34.56;35.88;1327
20240513;100000;42.3;42.41;41.33;42.13;3626
20240514;100000;34.08;34.8;33.2;34.01;2111
20240515;100000;45.97;46.69;44.62;45.48;3538
20240516;100000;33.1;33.56;33.01;33.24;1329
20240517;100000;34.75;35.36;34.54;35.28;1146
20240518;100000;41.69;42.6;40.38;41.01;4594
20240519;100000;31.63;31.89;30.77;31.15;1470
20240520;100000;39.71;40.07;38.26;39.12;2890
20240521;100000;45.15;46.44;44.39;45.49;2303
20240522;100000;32.26;33.24;31.7;32.18;1735
20240523;100000;42.17;43.09;42.15;42.66;3573
20240524;100000;45.24;45.65;44.59;44.81;2301
20240525;100000;49.93;50.77;48.42;49.4;1441
20240526;100000;41.63;42.31;40.66;41.48;3175
20240527;100000;43.7;43.81;42.81;43.39;3981
20240528;100000;54.96;55.53;54.24;55.04;4700
20240529;100000;56.09;56.44;55.95;56.43;4896
20240530;100000;59.21;59.46;58.12;58.75;3868
20240531;100000;61.33;61.96;60.42;61.79;3969
20240601;100000;59.88;60.3;58.82;59.17;2845
20240602;100000;65.93;66.91;65.84;66.17;4363
20240603;100000;68.69;69.72;67.97;68.8;3791
20240604;100000;66.54;67.1;65.46;65.93;3670
20240605;100000;79.94;81.36;79.78;80.82;4315
20240606;100000;75.57;75.68;75.07;75.63;1364
20240607;100000;69.02;69.49;68.49;68.83;3343
20240608;100000;78.8;80.06;78.31;79.33;1938
20240609;100000;71.68;72.22;71.6;72.15;1107
20240610;100000;82.78;83.48;81.36;81.63;3913
20240611;100000;83.7;84.66;82.74;83.85;2040
20240612;100000;73.68;74.96;73.23;74.01;4886
20240613;100000;83.01;83.77;81.94;82.66;4023
20240614;100000;79.98;80.83;79.09;79.34;2112
20240615;100000;81.18;81.24;79.84;80.51;4359
20240616;100000;85.23;85.94;83.8;84.72;4990
20240617;100000;71.96;72.9;71.84;72.58;4590
20240618;100000;69.68;69.97;67.45;68.37;2521
20240619;100000;66.49;67.23;65.75;65.81;4042
20240620;100000;63.93;64.43;63.1;64.11;2296
20240621;100000;64.94;66.14;64.46;65.58;1130
20240622;100000;66.04;66.73;64.99;65.33;1182
20240623;100000;63.31;64.12;62.05;62.59;4029
20240624;100000;61.93;63.2;61.31;62.89;1015
20240625;100000;56.86;57.28;55.9;56.36;1545
20240626;100000;61.05;61.17;60.17;61.14;4212
20240627;100000;50.53;50.6;50.2;50.21;1028
20240628;100000;62.83;63.68;62.43;62.92;1244
20240629;100000;51.67;51.94;49.97;50.37;3973
20240630;100000;40.75;41.49;40.33;41.07;1388
20240701;100000;37.4;39.19;36.69;38.34;1292
20240702;100000;44.53;44.72;44.51;44.68;2998
20240703;100000;39.02;40.67;38.8;39.99;3041
20240704;100000;43.2;44.6;42.94;43.8;4451
20240705;100000;42.51;43.46;41.55;42.02;2868
20240706;100000;38.92;40.01;38.17;39.03;1771
20240707;100000;35.79;36.3;34.97;35.21;1225
20240708;100000;33.04;33.42;32.19;32.23;3553
20240709;100000;37.93;38.3;36.96;38.25;3736
20240710;100000;46.33;46.85;45.14;45.74;2776
20240711;100000;43.6;44.54;42.9;43.78;3263
20240712;100000;37.42;38.91;36.96;38.01;1780
20240713;100000;46.98;47.57;46.29;46.87;4681
20240714;100000;49.16;50.38;48.77;49.92;3682
20240715;100000;46.02;46.57;45.66;45.75;1983
20240716;100000;53.8;54.05;53.25;53.26;2274
20240717;100000;55.2;55.3;54.98;55.22;4020
20240718;100000;52.63;53.52;50.74;51.73;2137
20240719;100000;60.05;62.38;59.22;61.79;2591
20240720;100000;64.93;66.02;64.38;65.36;2996
20240721;100000;70.78;71.58;69.83;70.49;3400
20240722;100000;72.6;72.94;72.44;72.78;3828
20240723;100000;63.2;63.88;62.33;62.95;3469
20240724;100000;67.75;67.93;66.43;67.32;1556
20240725;100000;76.48;76.9;75.74;76.57;4998
20240726;100000;78.4;78.4;77.77;78.33;1588
20240727;100000;79.75;80.15;79.13;79.86;2136
20240728;100000;97.81;98.37;97.69;97.81;3913
20240729;100000;82.7;83.48;82.27;82.38;3461
20240730;100000;86.96;86.97;85.44;85.87;1993
20240731;100000;85.94;86.87;85.23;85.33;2219
20240801;100000;83.15;84.04;82.38;83.87;4395
20240802;100000;79.31;79.37;78.19;78.77;3752
20240803;100000;83.05;83.62;82.98;83.57;3257
20240804;100000;75.22;75.24;75.01;75.03;4717
20240805;100000;76.29;76.92;75.47;76.55;3506
20240806;100000;73.61;74.16;72.61;73.88;3000
20240807;100000;75.99;76.09;74.2;75.05;4342
20240808;100000;84.65;84.87;84.25;84.33;1973
20240809;100000;61.84;62.07;61.22;61.35;4778
20240810;100000;72.22;72.64;71.26;71.89;4845
20240811;100000;58.01;58.82;57.57;58.06;2530
20240812;100000;61.8;62.03;61.13;61.35;2855
20240813;100000;66.59;67.56;65.88;66.69;2809
20240814;100000;59.07;60.08;58.89;59.11;2680
20240815;100000;51.55;51.64;50.83;50.99;2050
20240816;100000;50.69;51.32;50.33;50.46;1692
20240817;100000;55.52;56.43;54.25;55.21;3963
20240818;100000;46.05;46.21;45.92;46.09;2259
20240819;100000;49.66;49.91;48.38;48.94;2016
20240820;100000;46.64;46.97;45.83;46.42;1583
20240821;100000;41.01;41.82;40.55;41.51;1071
20240822;100000;55.3;55.7;53.35;54.32;1165
20240823;100000;45.71;46.19;45.01;45.9;3848
20240824;100000;32.5;32.64;31.93;32.03;4117
20240825;100000;43.24;43.39;42.32;42.82;2109
20240826;100000;38.33;39.41;37.38;38.63;4936
20240827;100000;45.99;47.08;45.91;46.57;2949
20240828;100000;38.52;39.58;37.83;39.02;1142
20240829;100000;43.24;43.58;43.07;43.38;2328
20240830;100000;47.84;48.46;47.13;47.74;1552
20240831;100000;51.51;52.22;50.2;51.07;2713
20240901;100000;43.14;43.75;42.02;42.51;1458
20240902;100000;49.1;50.0;48.27;48.82;4385
20240903;100000;50.24;50.33;50.08;50.29;1013
20240904;100000;52.47;52.55;51.66;51.72;3134
20240905;100000;66.1;66.87;65.78;66.25;1749
20240906;100000;63.05;63.39;61.79;61.97;4702
20240907;100000;55.91;56.36;55.89;56.2;4794
20240908;100000;69.61;69.87;68.61;69.65;3920
20240909;100000;77.76;78.59;77.54;78.18;2982
20240910;100000;75.17;75.38;74.33;75.17;4888
20240911;100000;64.94;65.68;64.31;64.74;1515
20240912;100000;72.41;73.14;71.32;72.08;1955
20240913;100000;82.04;83.55;81.56;82.83;3625
20240914;100000;75.72;76.32;73.93;74.72;1294
20240915;100000;82.33;83.24;81.79;82.01;4308
20240916;100000;84.13;85.39;83.3;84.92;4808
20240917;100000;77.59;78.5;77.21;77.39;1939
20240918;100000;82.06;82.77;81.54;82.4;3340
20240919;100000;66.84;67.1;65.97;66.85;2646
20240920;100000;78.57;79.17;77.41;77.99;4155
20240921;100000;81.01;81.97;80.04;81.58;3113
20240922;100000;76.19;77.05;76.02;76.03;2472
20240923;100000;89.32;90.53;88.87;89.56;4466
20240924;100000;73.26;74.14;72.64;73.09;3639
20240925;100000;75.56;77.44;75.13;76.61;4347
20240926;100000;77.92;78.51;76.85;77.79;3360
20240927;100000;82.29;82.5;81.55;82.46;3020
20240928;100000;65.83;66.54;65.05;66.01;2655
20240929;100000;76.96;77.83;76.57;76.78;1956
20240930;100000;69.32;69.36;67.69;68.67;1968
20241001;100000;61.66;61.7;61.18;61.3;1197
20241002;100000;66.09;66.27;65.97;66.06;2184
20241003;100000;61.99;62.44;61.01;62.29;2239
20241004;100000;55.88;56.57;55.86;55.88;1216
20241005;100000;57.34;57.8;56.37;56.89;4249
20241006;100000;52.56;52.9;51.86;52.39;3198
20241007;100000;52.34;53.49;51.37;52.81;1128
20241008;100000;53.99;54.72;53.51;53.67;2381
20241009;100000;56.52;57.31;55.69;56.62;4289
20241010;100000;41.18;41.56;41.06;41.07;4216
20241011;100000;56.86;57.63;56.66;56.77;1344
20241012;100000;35.55;36.24;34.79;35.47;4218
20241013;100000;44.31;44.66;43.74;43.9;1703
20241014;100000;48.24;48.29;46.35;47.33;4752
20241015;100000;45.71;45.95;45.06;45.84;4173
20241016;100000;41.44;42.02;40.77;41.69;4525
20241017;100000;44.83;45.21;44.14;44.44;1454
20241018;100000;43.79;43.99;43.47;43.99;4147
20241019;100000;45.35;45.73;44.22;44.77;2440
20241020;100000;54.5;54.74;53.11;53.49;2963
20241021;100000;52.81;52.98;52.15;52.79;1961
20241022;100000;49.41;49.99;49.03;49.53;4865
20241023;100000;58.85;60.14;58.45;59.66;3390
20241024;100000;59.11;59.92;58.31;59.02;1890
20241025;100000;64.65;65.08;63.09;63.99;4188
20241026;100000;65.63;66.53;65.35;65.59;1714
